Country,Commodity,Value,Measurement Unit,Annotation,Year
13,1001,0,Mt,,1978
13,1001,0,Mt,,1980
13,1001,0,Mt,,1982
13,1001,0,Mt,,1984
13,1001,0,Mt,,1986
13,1001,0,Mt,,1988
13,1001,0,Mt,,1990
13,1001,0,Mt,,1992
13,1001,0,Mt,,1994
13,1001,0,Mt, ,1996
13,1001,0,Mt, ,1998
13,1001,0,Mt,_,2000
13,1001,0,Mt,_,2002
13,1001,217000,Mt,B,2004
13,1001,35000,Mt,B,2006
13,1001,44000,Mt,B,2008
13,100630,0,Mt, ,1978
13,100630,0,Mt, ,1980
13,100630,0,Mt,,1982
13,100630,0,Mt,,1984
13,100630,0,Mt,,1986
13,100630,0,Mt,,1988
13,100630,0,Mt,,1990
13,100630,0,Mt,,1992
13,100630,0,Mt,,1994
13,100630,0,Mt,,1996
13,100630,0,Mt,,1998
13,100630,0,Mt,,2000
13,100630,0,Mt,,2002
13,100630,0,Mt,_,2004
13,100630,0,Mt,_,2006
13,100630,0,Mt,_,2008
13,1003,0,Mt,,1978
13,1003,0,Mt,,1980
13,1003,0,Mt,,1982
13,1003,0,Mt,,1984
13,1003,0,Mt,,1986
13,1003,0,Mt,,1988
13,1003,0,Mt,,1990
13,1003,0,Mt,,1992
13,1003,0,Mt,,1994
13,1003,0,Mt,,1996
13,1003,0,Mt,,1998
13,1003,0,Mt,,2000
13,1003,0,Mt,_,2002
13,1003,78000,Mt,B,2004
13,1003,95000,Mt,B,2006
13,1003,51000,Mt,B,2008
13,1005,0,Mt,,1978
13,1005,0,Mt,,1980
13,1005,0,Mt,,1982
13,1005,0,Mt,,1984
13,1005,0,Mt,,1986
13,1005,0,Mt,,1988
13,1005,0,Mt,,1990
13,1005,0,Mt,,1992
13,1005,0,Mt,,1994
13,1005,0,Mt,,1996
13,1005,0,Mt,,1998
13,1005,0,Mt,,2000
13,1005,0,Mt,_,2002
13,1005,28000,Mt,B,2004
13,1005,26000,Mt,B,2006
13,1005,20000,Mt,B,2008
13,1002,0,Mt,,1978
13,1002,0,Mt,,1980
13,1002,0,Mt,,1982
13,1002,0,Mt,,1984
13,1002,0,Mt,,1986
13,1002,0,Mt,,1988
13,1002,0,Mt,,1990
13,1002,0,Mt,,1992
13,1002,0,Mt,,1994
13,1002,0,Mt, ,1996
13,1002,0,Mt, ,1998
13,1002,0,Mt,_,2000
13,1002,0,Mt,_,2002
13,1002,0,Mt,_,2004
13,1002,0,Mt,_,2006
13,1002,1000,Mt,_,2008
13,1004,0,Mt,,1978
13,1004,0,Mt,,1980
13,1004,0,Mt,,1982
13,1004,0,Mt,,1984
13,1004,0,Mt,,1986
13,1004,0,Mt,,1988
13,1004,0,Mt,,1990
13,1004,0,Mt,,1992
13,1004,0,Mt,,1994
13,1004,0,Mt,,1996
13,1004,0,Mt,,1998
13,1004,0,Mt,_,2000
13,1004,0,Mt,_,2002
13,1004,3000,Mt,B,2004
13,1004,2000,Mt,B,2006
13,1004,0,Mt,B,2008
13,100820,0,Mt,,1978
13,100820,0,Mt,,1980
13,100820,0,Mt,,1982
13,100820,0,Mt,,1984
13,100820,0,Mt,,1986
13,100820,0,Mt,,1988
13,100820,0,Mt,,1990
13,100820,0,Mt,,1992
13,100820,0,Mt,,1994
13,100820,0,Mt,,1996
13,100820,0,Mt,,1998
13,100820,0,Mt,,2000
13,100820,0,Mt,_,2002
13,100820,0,Mt,_,2004
13,100820,0,Mt,_,2006
13,100820,0,Mt,B,2008
13,1007,0,Mt,,1978
13,1007,0,Mt,,1980
13,1007,0,Mt,,1982
13,1007,0,Mt,,1984
13,1007,0,Mt,,1986
13,1007,0,Mt,,1988
13,1007,0,Mt,,1990
13,1007,0,Mt,,1992
13,1007,0,Mt,,1994
13,1007,0,Mt,,1996
13,1007,0,Mt,,1998
13,1007,0,Mt,,2000
13,1007,0,Mt,_,2002
13,1007,0,Mt,_,2004
13,1007,0,Mt,_,2006
13,1007,0,Mt,B,2008
13,100890,0,Mt,,1978
13,100890,0,Mt,,1980
13,100890,0,Mt,,1982
13,100890,0,Mt,,1984
13,100890,0,Mt,,1986
13,100890,0,Mt,,1988
13,100890,0,Mt,,1990
13,100890,0,Mt,,1992
13,100890,0,Mt,,1994
13,100890,0,Mt,,1996
13,100890,0,Mt,,1998
13,100890,0,Mt,,2000
13,100890,0,Mt,_,2002
13,100890,18000,Mt,B,2004
13,100890,5000,Mt,B,2006
13,100890,4000,Mt,B,2008
17,1001,13457000,Mt, ,1978
17,1001,1173000,Mt,_,1980
17,1001,1293000,Mt,_,1982
17,1001,1626000,Mt,_,1984
17,1001,1503100,Mt,_,1986
17,1001,301000,Mt,_,1988
17,1001,646000,Mt,_,1990
17,1001,858000,Mt,_,1992
17,1001,821000,Mt,_,1994
17,1001,1287000,Mt,_,1996
17,1001,948000,Mt,_,1998
17,1001,278000,Mt,_,2000
17,1001,1226000,Mt,_,2002
17,1001,1966000,Mt,_,2004
17,1001,1000000,Mt,_,2006
17,1001,1727000,Mt,_,2008
17,100630,0,Mt, ,1978
17,100630,0,Mt,,1980
17,100630,0,Mt,,1982
17,100630,0,Mt,,1984
17,100630,0,Mt,,1986
17,100630,0,Mt,,1988
17,100630,0,Mt,,1990
17,100630,0,Mt,,1992
17,100630,0,Mt,,1994
17,100630,0,Mt,,1996
17,100630,15000,Mt,,1998
17,100630,15000,Mt,,2000
17,100630,30000,Mt,,2002
17,100630,25000,Mt,_,2004
17,100630,50000,Mt,_,2006
17,100630,20000,Mt,_,2008
17,1003,3792000,Mt, ,1978
17,1003,508400,Mt,_,1980
17,1003,534000,Mt,_,1982
17,1003,728000,Mt,_,1984
17,1003,256000,Mt,_,1986
17,1003,87000,Mt,_,1988
17,1003,124000,Mt,_,1990
17,1003,570000,Mt,_,1992
17,1003,566000,Mt,_,1994
17,1003,1007000,Mt,_,1996
17,1003,1077000,Mt,_,1998
17,1003,962000,Mt,_,2000
17,1003,914000,Mt,_,2002
17,1003,1463000,Mt,_,2004
17,1003,1400000,Mt,_,2006
17,1003,1980000,Mt,_,2008
17,1005,92100,Mt, ,1978
17,1005,69300,Mt,_,1980
17,1005,113500,Mt,_,1982
17,1005,87600,Mt,_,1984
17,1005,130300,Mt,_,1986
17,1005,106100,Mt,_,1988
17,1005,75200,Mt,_,1990
17,1005,116000,Mt,_,1992
17,1005,150000,Mt,_,1994
17,1005,114000,Mt,_,1996
17,1005,129000,Mt,F,1998
17,1005,116000,Mt,F,2000
17,1005,116000,Mt,F,2002
17,1005,89000,Mt,_,2004
17,1005,159000,Mt,_,2006
17,1005,84000,Mt,_,2008
17,1002,22100,Mt, ,1978
17,1002,7300,Mt,_,1980
17,1002,15100,Mt,_,1982
17,1002,15200,Mt,_,1984
17,1002,24600,Mt,_,1986
17,1002,26100,Mt,_,1988
17,1002,17100,Mt,B,1990
17,1002,25000,Mt,B,1992
17,1002,56000,Mt,B,1994
17,1002,27000,Mt,_,1996
17,1002,17000,Mt,_,1998
17,1002,32000,Mt,_,2000
17,1002,22000,Mt,_,2002
17,1002,38000,Mt,_,2004
17,1002,26000,Mt,B,2006
17,1002,22000,Mt,B,2008
17,1004,1046300,Mt, ,1978
17,1004,993100,Mt,_,1980
17,1004,761600,Mt,_,1982
17,1004,1290200,Mt,_,1984
17,1004,822000,Mt,_,1986
17,1004,1189800,Mt,_,1988
17,1004,1200400,Mt,_,1990
17,1004,1000000,Mt,_,1992
17,1004,995000,Mt,_,1994
17,1004,1250000,Mt,_,1996
17,1004,1472000,Mt,_,1998
17,1004,1256000,Mt,_,2000
17,1004,1227000,Mt,_,2002
17,1004,1366000,Mt,_,2004
17,1004,1524000,Mt,_,2006
17,1004,1298000,Mt,B,2008
17,100820,33100,Mt, ,1978
17,100820,19100,Mt,_,1980
17,100820,1800,Mt,_,1982
17,100820,1100,Mt,_,1984
17,100820,19600,Mt,_,1986
17,100820,9500,Mt,_,1988
17,100820,26400,Mt,_,1990
17,100820,8000,Mt,_,1992
17,100820,10000,Mt,_,1994
17,100820,15000,Mt,_,1996
17,100820,30000,Mt,_,1998
17,100820,9000,Mt,_,2000
17,100820,24000,Mt,_,2002
17,100820,8000,Mt,_,2004
17,100820,15000,Mt,B,2006
17,100820,3000,Mt,B,2008
17,1007,611400,Mt, ,1978
17,1007,446200,Mt,_,1980
17,1007,418000,Mt,_,1982
17,1007,370000,Mt,_,1984
17,1007,355700,Mt,_,1986
17,1007,691000,Mt,_,1988
17,1007,294500,Mt,_,1990
17,1007,267000,Mt,_,1992
17,1007,301000,Mt,_,1994
17,1007,916000,Mt,_,1996
17,1007,1013000,Mt,_,1998
17,1007,896000,Mt,_,2000
17,1007,914000,Mt,_,2002
17,1007,525000,Mt,_,2004
17,1007,1152000,Mt,_,2006
17,1007,376000,Mt,_,2008
17,100890,21800,Mt, ,1978
17,100890,9000,Mt,_,1980
17,100890,16700,Mt,_,1982
17,100890,63600,Mt,_,1984
17,100890,68600,Mt,_,1986
17,100890,168100,Mt,_,1988
17,100890,154600,Mt,_,1990
17,100890,210000,Mt,_,1992
17,100890,188000,Mt,_,1994
17,100890,146000,Mt,_,1996
17,100890,197000,Mt,_,1998
17,100890,162000,Mt,_,2000
17,100890,179000,Mt,_,2002
17,100890,168000,Mt,_,2004
17,100890,253000,Mt,_,2006
17,100890,250000,Mt,_,2008
115,1001,0,Mt, ,1978
115,1001,400000,Mt, ,1980
115,1001,400000,Mt, ,1982
115,1001,400000,Mt, ,1984
115,1001,400000,Mt, ,1986
115,1001,400000,Mt, ,1988
115,1001,400000,Mt, ,1990
115,1001,400000,Mt, ,1992
115,1001,400000,Mt, ,1994
115,1001,400000,Mt, ,1996
115,1001,800000,Mt, ,1998
115,1001,800000,Mt,_,2000
