Country,Commodity,Value,Measurement Unit,Annotation,Year
13,1001,0,Mt,,1978
13,1001,0,Mt,,1980
13,1001,0,Mt,,1982
13,1001,0,Mt,,1984
13,1001,0,Mt,,1986
13,1001,0,Mt,,1988
13,1001,0,Mt,,1990
13,1001,0,Mt,,1992
13,1001,0,Mt,,1994
13,1001,0,Mt, ,1996
13,1001,0,Mt, ,1998
13,1001,0,Mt,_,2000
13,1001,0,Mt,_,2002
13,1001,550000,Mt,_,2004
13,1001,388000,Mt,_,2006
13,1001,400000,Mt,F,2008
13,100630,0,Mt, ,1978
13,100630,0,Mt, ,1980
13,100630,0,Mt,,1982
13,100630,0,Mt,,1984
13,100630,0,Mt,,1986
13,100630,0,Mt,,1988
13,100630,0,Mt,,1990
13,100630,0,Mt,,1992
13,100630,0,Mt,,1994
13,100630,0,Mt,,1996
13,100630,0,Mt,,1998
13,100630,0,Mt,,2000
13,100630,0,Mt,_,2002
13,100630,35000,Mt,F,2004
13,100630,9000,Mt,F,2006
13,100630,25400,Mt,F,2008
13,1003,0,Mt,,1978
13,1003,0,Mt,,1980
13,1003,0,Mt,,1982
13,1003,0,Mt,,1984
13,1003,0,Mt,,1986
13,1003,0,Mt,,1988
13,1003,0,Mt,,1990
13,1003,0,Mt,,1992
13,1003,0,Mt,,1994
13,1003,0,Mt,,1996
13,1003,0,Mt,,1998
13,1003,0,Mt,,2000
13,1003,0,Mt,_,2002
13,1003,0,Mt,_,2004
13,1003,0,Mt,_,2006
13,1003,0,Mt,_,2008
13,1005,0,Mt,,1978
13,1005,0,Mt,,1980
13,1005,0,Mt,,1982
13,1005,0,Mt,,1984
13,1005,0,Mt,,1986
13,1005,0,Mt,,1988
13,1005,0,Mt,,1990
13,1005,0,Mt,,1992
13,1005,0,Mt,,1994
13,1005,0,Mt,,1996
13,1005,0,Mt,,1998
13,1005,0,Mt,,2000
13,1005,0,Mt,_,2002
13,1005,25000,Mt,_,2004
13,1005,15000,Mt,_,2006
13,1005,15000,Mt,F,2008
13,1002,0,Mt,,1978
13,1002,0,Mt,,1980
13,1002,0,Mt,,1982
13,1002,0,Mt,,1984
13,1002,0,Mt,,1986
13,1002,0,Mt,,1988
13,1002,0,Mt,,1990
13,1002,0,Mt,,1992
13,1002,0,Mt,,1994
13,1002,0,Mt, ,1996
13,1002,0,Mt, ,1998
13,1002,0,Mt,_,2000
13,1002,0,Mt,_,2002
13,1002,0,Mt,_,2004
13,1002,0,Mt,_,2006
13,1002,1000,Mt,_,2008
13,1004,0,Mt,,1978
13,1004,0,Mt,,1980
13,1004,0,Mt,,1982
13,1004,0,Mt,,1984
13,1004,0,Mt,,1986
13,1004,0,Mt,,1988
13,1004,0,Mt,,1990
13,1004,0,Mt,,1992
13,1004,0,Mt,,1994
13,1004,0,Mt,,1996
13,1004,0,Mt,,1998
13,1004,0,Mt,,2000
13,1004,0,Mt,_,2002
13,1004,0,Mt,_,2004
13,1004,0,Mt,_,2006
13,1004,0,Mt,_,2008
13,100820,0,Mt,,1978
13,100820,0,Mt,,1980
13,100820,0,Mt,,1982
13,100820,0,Mt,,1984
13,100820,0,Mt,,1986
13,100820,0,Mt,,1988
13,100820,0,Mt,,1990
13,100820,0,Mt,,1992
13,100820,0,Mt,,1994
13,100820,0,Mt,,1996
13,100820,0,Mt,,1998
13,100820,0,Mt,,2000
13,100820,0,Mt,,2002
13,100820,0,Mt,_,2004
13,100820,0,Mt,_,2006
13,100820,0,Mt,_,2008
13,1007,0,Mt,,1978
13,1007,0,Mt,,1980
13,1007,0,Mt,,1982
13,1007,0,Mt,,1984
13,1007,0,Mt,,1986
13,1007,0,Mt,,1988
13,1007,0,Mt,,1990
13,1007,0,Mt,,1992
13,1007,0,Mt,,1994
13,1007,0,Mt,,1996
13,1007,0,Mt,,1998
13,1007,0,Mt,,2000
13,1007,0,Mt,_,2002
13,1007,0,Mt,_,2004
13,1007,0,Mt,_,2006
13,1007,0,Mt,_,2008
13,100890,0,Mt,,1978
13,100890,0,Mt,,1980
13,100890,0,Mt,,1982
13,100890,0,Mt,,1984
13,100890,0,Mt,,1986
13,100890,0,Mt,,1988
13,100890,0,Mt,,1990
13,100890,0,Mt,,1992
13,100890,0,Mt,,1994
13,100890,0,Mt,,1996
13,100890,0,Mt,,1998
13,100890,0,Mt,,2000
13,100890,0,Mt,_,2002
13,100890,0,Mt,_,2004
13,100890,0,Mt,_,2006
13,100890,0,Mt,_,2008
17,1001,0,Mt,,1978
17,1001,0,Mt,_,1980
17,1001,0,Mt,_,1982
17,1001,0,Mt,_,1984
17,1001,0,Mt,_,1986
17,1001,0,Mt,_,1988
17,1001,0,Mt,_,1990
17,1001,0,Mt,_,1992
17,1001,0,Mt,_,1994
17,1001,0,Mt,_,1996
17,1001,0,Mt,_,1998
17,1001,0,Mt,_,2000
17,1001,0,Mt,_,2002
17,1001,0,Mt,_,2004
17,1001,0,Mt,_,2006
17,1001,0,Mt,_,2008
17,100630,0,Mt, ,1978
17,100630,800,Mt,,1980
17,100630,900,Mt,,1982
17,100630,1300,Mt,,1984
17,100630,2700,Mt,,1986
17,100630,3800,Mt,,1988
17,100630,9000,Mt,,1990
17,100630,9400,Mt,G,1992
17,100630,10900,Mt,G,1994
17,100630,17500,Mt,G,1996
17,100630,21600,Mt,G,1998
17,100630,24600,Mt,G,2000
17,100630,27200,Mt,G,2002
17,100630,28500,Mt,G,2004
17,100630,32100,Mt,G,2006
17,100630,30800,Mt,G,2008
17,1003,0,Mt, ,1978
17,1003,0,Mt,_,1980
17,1003,0,Mt,_,1982
17,1003,0,Mt,_,1984
17,1003,0,Mt,_,1986
17,1003,6000,Mt,_,1988
17,1003,0,Mt,_,1990
17,1003,0,Mt,_,1992
17,1003,0,Mt,_,1994
17,1003,0,Mt,_,1996
17,1003,0,Mt,_,1998
17,1003,0,Mt,_,2000
17,1003,0,Mt,_,2002
17,1003,0,Mt,_,2004
17,1003,0,Mt,_,2006
17,1003,0,Mt,_,2008
17,1005,0,Mt, ,1978
17,1005,4000,Mt,_,1980
17,1005,4600,Mt,_,1982
17,1005,6600,Mt,_,1984
17,1005,13900,Mt,_,1986
17,1005,8000,Mt,_,1988
17,1005,8000,Mt,_,1990
17,1005,9000,Mt,_,1992
17,1005,9000,Mt,_,1994
17,1005,8000,Mt,_,1996
17,1005,0,Mt,_,1998
17,1005,0,Mt,_,2000
17,1005,0,Mt,_,2002
17,1005,5000,Mt,_,2004
17,1005,2000,Mt,_,2006
17,1005,3000,Mt,_,2008
17,1002,0,Mt, ,1978
17,1002,0,Mt,_,1980
17,1002,2200,Mt,_,1982
17,1002,100,Mt,_,1984
17,1002,16000,Mt,_,1986
17,1002,3000,Mt,_,1988
17,1002,4000,Mt,_,1990
17,1002,2000,Mt,_,1992
17,1002,2000,Mt,_,1994
17,1002,2000,Mt,_,1996
17,1002,2000,Mt,_,1998
17,1002,13000,Mt,_,2000
17,1002,2000,Mt,_,2002
17,1002,7000,Mt,_,2004
17,1002,0,Mt,_,2006
17,1002,0,Mt,_,2008
17,1004,0,Mt,,1978
17,1004,0,Mt,_,1980
17,1004,0,Mt,_,1982
17,1004,0,Mt,_,1984
17,1004,0,Mt,_,1986
17,1004,0,Mt,_,1988
17,1004,0,Mt,_,1990
17,1004,0,Mt,_,1992
17,1004,0,Mt,_,1994
17,1004,0,Mt,_,1996
17,1004,0,Mt,_,1998
17,1004,0,Mt,_,2000
17,1004,0,Mt,_,2002
17,1004,0,Mt,_,2004
17,1004,0,Mt,_,2006
17,1004,0,Mt,_,2008
17,100820,0,Mt,,1978
17,100820,0,Mt,_,1980
17,100820,0,Mt,_,1982
17,100820,0,Mt,_,1984
17,100820,0,Mt,_,1986
17,100820,0,Mt,_,1988
17,100820,0,Mt,_,1990
17,100820,0,Mt,_,1992
17,100820,0,Mt,_,1994
17,100820,0,Mt,_,1996
17,100820,0,Mt,_,1998
17,100820,0,Mt,_,2000
17,100820,0,Mt,_,2002
17,100820,0,Mt,_,2004
17,100820,0,Mt,_,2006
17,100820,0,Mt,_,2008
17,1007,0,Mt,,1978
17,1007,0,Mt,_,1980
17,1007,0,Mt,_,1982
17,1007,0,Mt,_,1984
17,1007,0,Mt,_,1986
17,1007,0,Mt,_,1988
17,1007,0,Mt,_,1990
17,1007,0,Mt,_,1992
17,1007,0,Mt,_,1994
17,1007,0,Mt,_,1996
17,1007,0,Mt,_,1998
17,1007,0,Mt,_,2000
17,1007,0,Mt,_,2002
17,1007,0,Mt,_,2004
17,1007,0,Mt,_,2006
17,1007,0,Mt,_,2008
17,100890,0,Mt, ,1978
17,100890,0,Mt,_,1980
17,100890,100,Mt,_,1982
17,100890,200,Mt,_,1984
17,100890,600,Mt,_,1986
17,100890,0,Mt,_,1988
17,100890,0,Mt,_,1990
17,100890,0,Mt,_,1992
17,100890,0,Mt,_,1994
17,100890,0,Mt,_,1996
17,100890,0,Mt,_,1998
17,100890,0,Mt,_,2000
17,100890,0,Mt,_,2002
17,100890,1000,Mt,_,2004
17,100890,0,Mt,_,2006
17,100890,1000,Mt,_,2008
115,1001,0,Mt, ,1978
115,1001,222900,Mt, ,1980
115,1001,252600,Mt, ,1982
115,1001,2100000,Mt, ,1984
115,1001,1950000,Mt, ,1986
115,1001,3730000,Mt, ,1988
115,1001,689000,Mt, ,1990
115,1001,170800,Mt, ,1992
115,1001,101400,Mt, ,1994
115,1001,337000,Mt,R,1996
115,1001,2010000,Mt,Q,1998
115,1001,126000,Mt,_,2000
115,1001,227200,Mt,_,2002
115,1001,119000,Mt,_,2004
115,1001,3064400,Mt,_,2006
115,1001,242000,Mt,Q,2008
115,100630,0,Mt, ,1978
115,100630,0,Mt,,1980
115,100630,72100,Mt,,1982
115,100630,25400,Mt,,1984
