Country,Value,Measurement Unit,Year
13,0,1000,1978
13,0,1000,1980
13,0,1000,1982
13,0,1000,1984
13,0,1000,1986
13,0,1000,1988
13,0,1000,1990
13,0,1000,1992
13,0,1000,1994
13,0,1000,1996
13,0,1000,1998
13,0,1000,2000
13,0,1000,2002
13,3441,1000,2004
13,3641,1000,2006
13,3688,1000,2008
17,14309,1000,1978
17,14428,1000,1980
17,14569,1000,1982
17,14743,1000,1984
17,14944,1000,1986
17,15167,1000,1988
17,15402,1000,1990
17,15641,1000,1992
17,15885,1000,1994
17,16134,1000,1996
17,16386,1000,1998
17,16638,1000,2000
17,16888,1000,2002
17,17133,1000,2004
17,17374,1000,2006
17,17610,1000,2008
115,660624,1000,1978
115,674450,1000,1980
115,688856,1000,1982
115,703909,1000,1984
115,719533,1000,1986
115,735585,1000,1988
115,751855,1000,1990
115,768185,1000,1992
115,784527,1000,1994
115,800913,1000,1996
115,817899.8,1000,1998
115,834094,1000,2000
115,844866,1000,2002
115,861266,1000,2004
115,877694,1000,2006
115,897140,1000,2008
116,144764,1000,1978
116,147823,1000,1980
116,150958,1000,1982
116,154178,1000,1984
116,157464,1000,1986
116,160781,1000,1988
116,164082,1000,1990
116,167332,1000,1992
116,170521,1000,1994
116,173658,1000,1996
116,176757.6,1000,1998
116,179798,1000,2000
116,182474,1000,2002
116,185568,1000,2004
116,188623,1000,2006
116,191279,1000,2008
116,36535,1000,1978
116,37886,1000,1980
116,39343,1000,1982
116,40980,1000,1984
116,42773,1000,1986
116,44663,1000,1988
116,46574,1000,1990
116,48442,1000,1992
116,50250,1000,1994
116,51998,1000,1996
116,53667,1000,1998
116,55239,1000,2000
116,56703,1000,2002
116,58049,1000,2004
116,59275,1000,2006
116,60394,1000,2008
118,12175,1000,1978
118,12542,1000,1980
118,12962,1000,1982
118,13404,1000,1984
118,13865,1000,1986
118,14334,1000,1988
118,14794,1000,1990
118,15236,1000,1992
118,15654,1000,1994
118,16053,1000,1996
118,16451,1000,1998
118,16875,1000,2000
118,17341,1000,2002
118,17856,1000,2004
118,18415,1000,2006
118,19005,1000,2008
121,3692,1000,1978
121,3690,1000,1980
121,3764,1000,1982
121,3835,1000,1984
