Code, Label, LangCode
"364", "AAAID", "EN"
"464", "ACC", "EN"
"414", "ACP Africa", "EN"
"416", "ACP Caribbean", "EN"
"417", "ACP Pacific", "EN"
"363", "ACS", "EN"
"2", "Afghanistan", "EN"
"359", "Africa", "EN"
"5100", "Africa", "EN"
"369", "Africa (Former)", "EN"
"340", "Africa Developed", "EN"
"309", "Africa Developing", "EN"
"390", "Africa South of Sahara", "EN"
"5809", "Africa South of Sahara (exc S Africa)", "EN"
"5810", "Africa South of Sahara (inc S Africa)", "EN"
"413", "Africa,Caribb,Pacific St", "EN"
"5705", "African Developed Countries (None)", "EN"
"5804", "African Developing Countries", "EN"
"3", "Albania", "EN"
"4", "Algeria", "EN"
"5701", "American Developed Countries", "EN"
"5805", "American Developing Countries", "EN"
"5", "American Samoa", "EN"
"5200", "Americas", "EN"
"395", "ANCOM", "EN"
"6", "Andorra", "EN"
"7", "Angola", "EN"
"258", "Anguilla", "EN"
"5600", "Antarctic Region", "EN"
"30", "Antarctica", "EN"
"8", "Antigua and Barbuda", "EN"
"454", "Arab Maghreb Union", "EN"
"9", "Argentina", "EN"
"1", "Armenia", "EN"
"22", "Aruba", "EN"
"412", "ASEAN", "EN"
"360", "Asia", "EN"
"5300", "Asia", "EN"
"423", "Asia & the Pacific", "EN"
"370", "Asia (Former)", "EN"
"870", "Asia (Former) (inc 351)", "EN"
"860", "Asia (inc 351)", "EN"
"802", "Asia (inc 357)", "EN"
"5837", "Asia - Pacific", "EN"
"343", "Asia Developed", "EN"
"347", "Asia Developing", "EN"
"847", "Asia Developing (inc 351)", "EN"
"5703", "Asian Developed Countries (Japan)", "EN"
"5806", "Asian Developing Countries", "EN"
"10", "Australia", "EN"
"5501", "Australia & New Zealand", "EN"
"11", "Austria", "EN"
"52", "Azerbaijan", "EN"
"12", "Bahamas", "EN"
"13", "Bahrain", "EN"
"308", "Baltic Assembly", "EN"
"16", "Bangladesh", "EN"
"14", "Barbados", "EN"
"57", "Belarus", "EN"
"255", "Belgium", "EN"
"15", "Belgium-Luxembourg", "EN"
"23", "Belize", "EN"
"53", "Benin", "EN"
"17", "Bermuda", "EN"
"18", "Bhutan", "EN"
"19", "Bolivia (Plurinational State of)", "EN"
"80", "Bosnia and Herzegovina", "EN"
"20", "Botswana", "EN"
"31", "Bouvet Island", "EN"
"21", "Brazil", "EN"
"24", "British Indian Ocean Territory", "EN"
"239", "British Virgin Islands", "EN"
"26", "Brunei Darussalam", "EN"
"367", "BSEC", "EN"
"27", "Bulgaria", "EN"
"233", "Burkina Faso", "EN"
"29", "Burundi", "EN"
"399", "CACEU", "EN"
"393", "CACM", "EN"
"408", "CAEU", "EN"
"115", "Cambodia", "EN"
"32", "Cameroon", "EN"
"33", "Canada", "EN"
"34", "Canton and Enderbury Islands", "EN"
"35", "Cape Verde", "EN"
"317", "Caribbean", "EN"
"5206", "Caribbean", "EN"
"394", "CARICOM", "EN"
