Code, Label, LangCode, Description
"QC", "Crops", "EN", "Q"
"TP", "Crops and livestock products", "EN", "T"
"PC", "Crops Primary", "EN", "P"
"QD", "Crops processed", "EN", "Q"
"RF", "Fertilizers", "EN", "R"
"RV", "Fertilizers - Trade Value", "EN", "R"
"RA", "Fertilizers archive", "EN", "R"
"F", "Forestry", "EN", "F"
"F4", "JFSQ", "EN", "F"
"F1", "JQ1", "EN", "F"
"F2", "JQ2", "EN", "F"
"RL", "Land", "EN", "R"
"TA", "Live animals", "EN", "T"
"QA", "Live Animals", "EN", "Q"
"PL", "Livestock Primary", "EN", "P"
"QL", "Livestock Primary", "EN", "Q"
"QP", "Livestock Processed", "EN", "Q"
"RM", "Machinery", "EN", "R"
"RY", "Machinery Archive", "EN", "R"
"ME", "Macro-Economic", "EN", "E"
"RP", "Pesticides (consumption)", "EN", "R"
"RT", "Pesticides (trade)", "EN", "R"
"PI", "Price Index", "EN", "P"
"P", "Prices", "EN", "P"
"Q", "Production", "EN", "Q"
"R", "Resources", "EN", "R"
"F3", "SP", "EN", "F"
"S", "SUA", "EN", "S"
"SD", "SUA Crops Derived", "EN", "S"
"SC", "SUA Crops Primary", "EN", "S"
"SA", "SUA Live Animals", "EN", "S"
"SP", "SUA Livestock Derived", "EN", "S"
"SL", "SUA Livestock Prim Fish", "EN", "S"
"TI", "TIN", "EN", "T"
"T", "Trade", "EN", "T"
"PT", "Trade Partner", "EN", "T"
"F", "null", "FR", "F"
"F1", "null", "FR", "F"
"F2", "null", "FR", "F"
"F3", "null", "FR", "F"
"F4", "null", "FR", "F"
"ME", "null", "FR", "E"
"PI", "null", "FR", "P"
"PT", "null", "FR", "T"
"R", "null", "FR", "R"
"RA", "null", "FR", "R"
"RY", "null", "FR", "R"
"S", "null", "FR", "S"
"SD", "null", "FR", "S"
"SP", "null", "FR", "S"
"TI", "null", "FR", "T"
"TA", "Animaux vivants", "FR", "T"
"SA", "CDU Animaux Vivants", "FR", "S"
"SL", "CDU Elevage Primaire Poissons", "FR", "S"
"SC", "CDU Récoltes Primaires", "FR", "S"
"T", "Commerce", "FR", "T"
"QC", "Cultures", "FR", "Q"
"TP", "Cultures et produits animaux", "FR", "T"
"QA", "Élevage", "FR", "Q"
"QL", "Elevage primaire", "FR", "Q"
"PL", "Elevage Primaire", "FR", "P"
"QP", "Elevage transformé", "FR", "Q"
"RF", "Engrais", "FR", "R"
"RV", "Engrais - Valeur du commerce", "FR", "R"
"RM", "Machines", "FR", "R"
"RT", "Pesticides (commerce)", "FR", "R"
"RP", "Pesticides (consommation)", "FR", "R"
"P", "Prix", "FR", "P"
"Q", "Production", "FR", "Q"
"PC", "Récoltes Primaires", "FR", "P"
"QD", "Récoltes transformées", "FR", "Q"
"RL", "Terres", "FR", "R"
"F", "null", "ES", "F"
"F1", "null", "ES", "F"
"F2", "null", "ES", "F"
"F3", "null", "ES", "F"
"F4", "null", "ES", "F"
"ME", "null", "ES", "E"
"PI", "null", "ES", "P"
"PT", "null", "ES", "T"
"R", "null", "ES", "R"
"RA", "null", "ES", "R"
"RY", "null", "ES", "R"
"S", "null", "ES", "S"
"SD", "null", "ES", "S"
"SP", "null", "ES", "S"
"TI", "null", "ES", "T"
"TA", "Animales vivos", "ES", "T"
"T", "Comercio", "ES", "T"
"QD", "Cosechas procesadas", "ES", "Q"
"SA", "CSU Animales vivos", "ES", "S"
"SC", "CSU Cultivos primarios", "ES", "S"
