Code, Label, LangCode
"1437", "2,4,5-T and its salts and esters", "EN"
"2666", "Abaca", "EN"
"800", "Agave Fibres Nes", "EN"
"1267", "Ag-Ind Byprd", "EN"
"1300", "Agr Machinery nes", "EN"
"1915", "Agric Machines 721-722", "EN"
"6613", "Agric. area irrigated by drip (trickle)", "EN"
"6614", "Agric. area irrigated by gravity", "EN"
"6615", "Agric. area irrigated by other methods", "EN"
"6612", "Agric. area irrigated by sprinkler", "EN"
"1882", "Agricult.Products,Total", "EN"
"6610", "Agricultural area", "EN"
"6672", "Agricultural area certified organic", "EN"
"6673", "Agricultural area in conversion to organic", "EN"
"6611", "Agricultural area irrigated", "EN"
"6671", "Agricultural area organic, total", "EN"
"2455017", "Agricultural machinery nes (trade)", "EN"
"5571", "Agricultural population", "EN"
"1911", "Agricultural Requisites", "EN"
"2455011", "Agricultural tractors", "EN"
"2455009", "Agricultural tractors, total", "EN"
"1710", "Agriculture", "EN"
"2051", "Agriculture (PIN)", "EN"
"22009", "Agriculture, value added", "EN"
"22010", "Agriculture, value added (% of GDP)", "EN"
"1460", "Agriculture, value added (Current US$ million)", "EN"
"2925", "Alcohol Excl Beer & Wine", "EN"
"632", "Alcohol Non Food", "EN"
"2659", "Alcohol, Non-Food", "EN"
"2924", "Alcoholic Beverages", "EN"
"1426", "Aldrin, Chlordane, Heptachlor", "EN"
"641", "Alfalfa for forage and silage", "EN"
"862", "Alfalfa Meal and Pellets", "EN"
"20000", "All income levels", "EN"
"231", "Almonds Shelled", "EN"
"7221", "Almonds Tree", "EN"
"221", "Almonds, with shell", "EN"
"1323", "Amides", "EN"
"1402", "Ammonia", "EN"
"2814", "Ammonia, anhydrous", "EN"
"1362", "Ammonium Nitrate", "EN"
"310230", "Ammonium nitrate", "EN"
"1379", "Ammonium Phosphat (P2o5)", "EN"
"1368", "Ammonium Phosphate (N)", "EN"
"1361", "Ammonium Sulphate", "EN"
"310221", "Ammonium sulphate", "EN"
"1363", "Ammonium SulphateNitrate", "EN"
"2946", "Animal Fats", "EN"
"5014", "Animal fats", "EN"
"1904", "Animal Fats -41", "EN"
"1170", "Animal fats and oils, nes(1170)", "EN"
"1976", "Animal Oil+Fat+Grs", "EN"
"1789", "Animal Oils and Fats", "EN"
"8168", "Animal Oils and Fats nes", "EN"
"1278", "Animal or vegetable fats and oils, hydrogenated(1278)", "EN"
"1786", "Animal Products", "EN"
"2941", "Animal Products", "EN"
"2942", "Animal Products - Supply", "EN"
"1903", "Animal Vegetable Oil -4", "EN"
"1171", "Animals Live Nes", "EN"
"711", "Anise, badian, fennel, corian.", "EN"
"1346", "Anticoagulants", "EN"
"519", "Apple juice, concentrated", "EN"
"518", "Apple juice, single strength", "EN"
"515", "Apples", "EN"
"2617", "Apples", "EN"
"2828", "Apples - Incl Cider", "EN"
"7515", "Apples Tree", "EN"
"526", "Apricots", "EN"
"7526", "Apricots Tree", "EN"
"1588", "Aq A Cured", "EN"
"1591", "Aq A Meal Of", "EN"
"1590", "Aq A Prep Ns", "EN"
"1580", "Aq M Meat", "EN"
"1582", "Aq M Oils", "EN"
"1583", "Aq M Prep Ns", "EN"
"1584", "Aqua Mammal Meal F Offal", "EN"
"1589", "Aquatic Animals Meals", "EN"
"2769", "Aquatic Animals, Others", "EN"
"1579", "Aquatic Mammals", "EN"
"1581", "Aquatic Mammals Meals", "EN"
"2775", "Aquatic Plants", "EN"
"1595", "Aquatic plants, dried", "EN"
"1594", "Aquatic plants, fresh", "EN"
"1596", "Aquatic plants, other preparations", "EN"
"2961", "Aquatic Products, Other", "EN"
"1587", "Aqutc Anim F", "EN"
"1291", "Arabic Gums", "EN"
"6621", "Arable land", "EN"
"6620", "Arable land and Permanent crops", "EN"
"6675", "Arable land area certified organic", "EN"
"6691", "Arable land area equipped for irrig.", "EN"
"6676", "Arable land area in conversion to organic", "EN"
"6674", "Arable land organic, total", "EN"
"226", "Arecanuts", "EN"
"366", "Artichokes", "EN"
"7366", "Artichokes Tree", "EN"
"1680", "Articles,m/p from Pulp", "EN"
"174", "Artificial Sweeteners", "EN"
"367", "Asparagus", "EN"
"7367", "Asparagus Tree", "EN"
"1123", "Ass Live Weight", "EN"
"1148", "Ass, mule or hinny Live Weight(1148)", "EN"
"1107", "Asses", "EN"
"8107", "Asses Tree", "EN"
"1113", "Asses, mules or hinnies(1113)", "EN"
"572", "Avocados", "EN"
"7572", "Avocados Tree", "EN"
"1039", "Bacon and Ham", "EN"
"170", "Bagasse", "EN"
