Date,Country,Nature of Food Insecurity,Main Reasons,Changes from Last Report
01-2006,43,3,"Civil strife, IDPs and returnees",''
01-2006,77,3,"Drought, IDPs, returnees, high food prices",''
01-2006,79,3,"Drought, IDPs, high food prices",''
01-2006,142,3,Drought in parts,''
01-2006,152,3,"Drought in parts, high food prices ",''
01-2006,226,3,"Civil strife, drought in parts",''
01-2006,235,3,Drought in parts,''
01-2006,271,3,Economic Crisis,''
01-2006,144,4,"Recent civil strife, IDPs",''
01-2006,159,4,After effects of 2004 drought and locusts,''
01-2006,181,4,After effects of 2004 drought and locusts,''
01-2006,221,4,"Returnees, refugees",''
01-2006,1,4,"Civil strife, IDPs and returnees",''
01-2006,118,4,Conflict and insecurity,''
01-2006,67,4,Economic constraints,''
01-2006,167,4,Summer drought and harsh winter,''
01-2006,175,4,Civil strife,''
01-2006,242,4,Drought,''
01-2006,108,4,Civil strife and drought,''
01-2006,8,5,Resettlement of returnees,''
01-2006,42,5,After effects of 2004 drought and locusts,''
01-2006,50,5,Refugees,''
01-2006,49,5,Recent civil strife,''
01-2006,68,5,"Civil strife, IDPs and refugees",''
01-2006,59,5,"IDPs, refugees",''
01-2006,66,5,"Civil strife, IDPs",''
01-2006,106,5,"IDPs, refugees",''
01-2006,133,5,Drought in parts,''
01-2006,155,5,After effects of 2004 drought and locusts,''
01-2006,170,5,Drought in parts,''
01-2006,232,5,"Civil strife, returnees, drought in parts",''
01-2006,257,5,Drought in parts,''
01-2006,253,5,"Civil strife, IDPs",''
01-2006,270,5,Drought in parts,''
01-2006,139,5,Floods and drought,''
01-2006,154,5,Tsunami,''
01-2006,188,5,Earthquake,''
01-2006,231,5,Tsunami,''
01-2006,57,5,"Civil strife, IDPs",''
01-2006,63,5,Drought,''
01-2006,103,5,Hurricanes,''
01-2006,111,5,Hurricanes,''
01-2006,180,5,Hurricanes and pests,''
03-2006,170,5,Drought or floods in parts,''
03-2006,79,3,"Drought, IDPs, high food prices",''
03-2006,79,4,Poverty - Drought in the Ogaden Region,''
03-2006,1,4,"Civil strife, IDPs and returnees",''
03-2006,43,3,"Civil strife, IDPs and returnees",''
03-2006,77,3,"Drought, IDPs, returnees, high food prices",''
03-2006,142,3,After effects of 2004-2005 Drought,''
03-2006,152,3,High food prices,''
03-2006,226,3,"Drought, civil strife",''
03-2006,235,3,After effects of 2004-2005 Drought,''
03-2006,271,3,Economic Crisis,''
03-2006,144,4,"Post-conflict recovery period, IDPs",''
