Project Name,Project Symbol,Country,Province,Location,Donor Type, Donor,Project Status,From date,To date, Budget, Currency,Priority Sector,Priority Description, Budget Type,Food Security,Implementing Agency Type, Implementing Agency, Notes
Regional Coordination of Avian Influenza Control and Prevention in Asia,OSRO/RAS/601/ASB,188,n.a.,n.a.,NUN,2NONUN,1,01-2006,12-2008,7990,USD,31100,31195,GR,F3,CNT,188,"MINFAl, GOP"
Eartquake Emergency Assistance Project,?,188,2275,AJK,NUN,2NONUN,1,01-2005,12-2009,12500,USD,72000,72000,LO,F3,CNT,188,ERRA 
Immediate Support to Poor & Vulnerable  Household in 2005 Eartquake,?,188,2275,n.a.,NUN,2NONUN,1,01-2007,12-2008,4905,USD,73000,73010,GR,F3,CNT,188,ERRA
Eartquake Displaced People Liovelhood Restoration Program,?,188,2275,n.a.,NUN,2NONUN,1,01-2006,12-2008,400000,USD,73000,73010,LO,F3,CNT,188,?
Eartquake Emergency Assistance Project,?,188,2275,n.a.,NUN,2NONUN,1,01-2005,12-2009,18750,USD,72000,72010,LO,F3,UN,7UN,?
Multisector Rehabilitation and Improvement for AJK,?,188,2275,AJK,NUN,2NONUN,1,01-2005,12-2009,6840,USD,72000,72010,LO,F3,CNT,188,?
Sustainable livelihood in Barani Areas,?,188,2276,n.a.,NUN,2NONUN,1,01-2005,12-2011,39225,USD,43000,43040,LO,F2,OTH,26OTHERACT,ABAD - Association of Builders and Developers
FATA Rural Development Project II,?,188,n.a.,n.a.,NUN,2NONUN,1,01-2006,12-2011,42000,USD,43000,43040,LO,F2,CNT,188,?
NWFP Barani Area Development Project II,?,188,2275,n.a.,NUN,2NONUN,1,01-2001,12-2008,57930,USD,43000,43040,LO,F2,CNT,188,?
Chashma Right Bank Irrigation Project,?,188,2275,n.a.,NUN,2NONUN,1,01-1992,12-2009,158447,USD,31100,31140,LO,F1,CNT,188,WAPDA (Water and Power Development Authority)
Chashma Right Bank Irrigation Project,?,188,2276,n.a.,NUN,2NONUN,1,01-1992,12-2009,0,USD,31100,31140,LO,F1,CNT,188,WAPDA (Water and Power Development Authority)
Agribusiness Develpmemnt Project ,?,188,n.a.,n.a.,NUN,2NONUN,1,01-2006,12-2011,29050,USD,25000,25010,LO,F2,CNT,188,?
Rural Enterprise Modernisation Project,?,188,n.a.,n.a.,NUN,2NONUN,1,01-2006,12-2009,5049,USD,21000,21020,LO,F2,CNT,188,Min of Industry production and Special Initiatives
Project Loan n. 1146 - Pakistan,?,188,2275,n.a.,NUN,2NONUN,1,01-1992,12-2009,158447,USD,31100,31100,LO,F1,CNT,188,?
Project Loan n. 1146 - Pakistan,?,188,2276,n.a.,NUN,2NONUN,1,01-1992,12-2009,0,USD,31100,31100,LO,F1,CNT,188,?
Rural Road Sector Development,?,188,2276,n.a.,NUN,2NONUN,1,01-2003,12-2008,150000,USD,21000,21020,LO,F2,CNT,188,punjab work and Services Dept.
Rural Finance Sector Development Programme,?,188,n.a.,n.a.,NUN,2NONUN,1,01-2002,12-2008,250000,USD,24000,24010,LO,F2,CNT,188,Min. of Industry and production
Sindh Road Sector Develop Project,?,188,2277,n.a.,NUN,2NONUN,1,?,?,150000,USD,21000,21020,LO,F2,CNT,188,Sind Work and Services Dept.
