Date,Country,Unfavourable Prospects,Contributing Factors,Changes from Last Report
01-2006,1,123,'',''
01-2006,103,123,'',''
01-2006,106,123,'',''
01-2006,108,123,'',''
01-2006,111,123,'',''
01-2006,118,123,'',''
01-2006,133,123,'',''
01-2006,139,123,'',''
01-2006,142,123,'',''
01-2006,144,123,'',''
01-2006,152,123,'',''
01-2006,154,123,'',''
01-2006,155,123,'',''
01-2006,159,123,'',''
01-2006,167,123,'',''
01-2006,170,123,'',''
01-2006,172,122,Dry weather,''
01-2006,175,122,"Drought, insecurity due to civil strife",''
01-2006,180,123,'',''
01-2006,181,123,'',''
01-2006,188,123,'',''
01-2006,205,122,Adverse weather conditions,''
01-2006,221,123,'',''
01-2006,226,123,'',''
01-2006,231,123,'',''
01-2006,232,123,'',''
01-2006,235,122,Adverse weather conditions,''
01-2006,242,122,Drought,''
01-2006,253,123,'',''
01-2006,257,123,'',''
01-2006,270,123,'',''
01-2006,271,122,Economic crisis,''
01-2006,42,123,'',''
01-2006,43,123,'',''
01-2006,49,123,'',''
01-2006,50,123,'',''
01-2006,57,123,'',''
01-2006,59,123,'',''
01-2006,63,122,Drought and hurricanes,''
01-2006,66,123,'',''
01-2006,67,123,'',''
01-2006,68,123,'',''
01-2006,77,123,'',''
01-2006,79,123,'',''
01-2006,8,123,'',''
03-2006,170,123,'',''
03-2006,79,123,'',''
03-2006,1,123,'',''
03-2006,79,123,'',''
03-2006,103,123,'',''
03-2006,106,123,'',''
03-2006,108,123,'',''
03-2006,111,123,'',''
03-2006,118,123,'',''
03-2006,133,123,'',''
03-2006,142,123,'',''
03-2006,144,123,'',''
03-2006,152,123,'',''
03-2006,155,123,'',''
03-2006,159,123,'',''
03-2006,167,123,'',''
03-2006,170,123,'',''
03-2006,172,122,Adverse weather conditions,''
03-2006,175,122,Insecurity due to civil strife,''
03-2006,181,123,'',''
03-2006,188,123,'',''
03-2006,205,122,Adverse weather conditions,''
03-2006,221,123,'',''
03-2006,226,123,'',''
03-2006,231,123,'',''
03-2006,232,123,'',''
03-2006,235,122,Adverse weather conditions,''
03-2006,242,122,Adverse weather conditions,''
03-2006,253,123,'',''
03-2006,257,123,'',''
03-2006,270,123,'',''
03-2006,271,122,"Economic crisis, scarce inputs",''
03-2006,42,123,'',''
03-2006,43,123,'',''
03-2006,49,123,'',''
03-2006,50,123,'',''
03-2006,57,123,'',''
03-2006,59,123,'',''
03-2006,63,122,Adverse weather conditions,''
03-2006,66,123,'',''
03-2006,67,123,'',''
03-2006,68,123,'',''
03-2006,77,123,'',''
03-2006,8,123,'',''
03-2006,79,123,'',''
03-2006,35,122,Dry spells,''
03-2006,8,122,Dry spell in parts,''
03-2006,217,122,Reduction in maize planted area due to lower prices,''
03-2006,227,122,Reduced maize plantings due to weak prices and high stocks.,''
03-2006,8,122,Dry spell in parts as compared to last year ,''
03-2006,152,123,'',''
03-2006,170,123,'',''
03-2006,235,122,Adverse weather conditions,''
03-2006,68,123,'',''
04-2006,205,122,Adverse weather conditions,''
04-2006,142,122,Dry spells,''
04-2006,205,122,Adverse weather conditions,''
04-2006,235,123,'',''
04-2006,271,123,'',''
04-2006,43,122,Dry weather,''
04-2006,8,122,Dry spell in parts as compared to last year ,''
04-2006,235,123,'',''
04-2006,271,123,'',''
04-2006,43,122,Dry weather,''
04-2006,170,123,'',''
04-2006,271,123,'',''
04-2006,43,123,'',''
05-2006,8,122,Drought in parts  ,''
05-2006,68,123,'',''
05-2006,271,123,'',''
05-2006,142,122,Dry spells,''
05-2006,8,122,Drought in parts  ,''
05-2006,150,123,'',''
07-2006,1,123,'',''
07-2006,105,123,'',''
07-2006,106,123,'',''
07-2006,108,123,'',''
07-2006,116,123,'',''
07-2006,118,123,'',''
07-2006,133,123,'',''
07-2006,141,123,'',''
07-2006,142,123,'',''
07-2006,144,123,'',''
07-2006,150,123,'',''
07-2006,155,123,'',''
07-2006,159,123,'',''
07-2006,167,123,'',''
07-2006,175,123,'',''
07-2006,181,123,'',''
07-2006,188,123,'',''
07-2006,204,123,'',''
07-2006,221,123,'',''
07-2006,226,123,'',''
07-2006,231,123,'',''
07-2006,235,123,'',''
07-2006,242,123,'',''
07-2006,253,123,'',''
07-2006,257,123,'',''
07-2006,271,123,'',''
07-2006,40764,123,'',''
07-2006,42,123,'',''
07-2006,43,123,'',''
07-2006,49,123,'',''
07-2006,50,123,'',''
07-2006,57,123,'',''
07-2006,59,123,'',''
07-2006,63,123,'',''
07-2006,66,123,'',''
07-2006,67,123,'',''
07-2006,68,123,'',''
07-2006,77,122,"Very poor prospects from lack of rainfall, limited plantings",''
07-2006,79,123,'',''
07-2006,8,123,'',''
08-2006,1,123,'',''
08-2006,105,123,'',''
08-2006,106,123,'',''
08-2006,108,123,'',''
08-2006,116,123,'',''
08-2006,118,123,'',''
08-2006,133,123,'',''
08-2006,141,123,'',''
08-2006,142,123,'',''
08-2006,144,123,'',''
08-2006,150,123,'',''
08-2006,155,123,'',''
08-2006,159,123,'',''
08-2006,167,123,'',''
08-2006,175,123,'',''
08-2006,181,123,'',''
08-2006,188,123,'',''
08-2006,204,123,'',''
08-2006,221,123,'',''
08-2006,226,123,'',''
08-2006,231,123,'',''
08-2006,235,123,'',''
08-2006,242,123,'',''
08-2006,253,123,'',''
08-2006,257,123,'',''
08-2006,271,123,'',''
08-2006,40764,123,'',''
08-2006,42,123,'',''
08-2006,43,123,'',''
08-2006,49,123,'',''
08-2006,50,123,'',''
08-2006,57,123,'',''
08-2006,59,123,'',''
08-2006,63,123,'',''
08-2006,66,123,'',''
08-2006,67,123,'',''
08-2006,68,123,'',''
08-2006,77,122,"Very poor prospects from lack of rainfall, limited plantings",''
08-2006,79,123,'',''
08-2006,8,123,'',''
08-2006,141,123,'',''
09-2006,1,123,'',''
09-2006,105,123,'',''
09-2006,106,123,'',''
09-2006,108,123,'',''
09-2006,116,123,'',''
09-2006,118,123,'',''
09-2006,133,123,'',''
09-2006,141,123,'',''
09-2006,142,123,'',''
09-2006,144,123,'',''
09-2006,150,123,'',''
09-2006,155,123,'',''
09-2006,159,123,'',''
09-2006,167,123,'',''
09-2006,175,123,'',''
09-2006,181,123,'',''
09-2006,188,123,'',''
09-2006,204,123,'',''
09-2006,221,123,'',''
09-2006,226,123,'',''
09-2006,231,123,'',''
09-2006,235,123,'',''
09-2006,242,123,'',''
09-2006,253,123,'',''
09-2006,257,123,'',''
09-2006,271,123,'',''
09-2006,40764,123,'',''
09-2006,42,123,'',''
09-2006,43,123,'',''
09-2006,49,123,'',''
09-2006,50,123,'',''
09-2006,57,123,'',''
09-2006,59,123,'',''
09-2006,63,123,'',''
09-2006,66,123,'',''
09-2006,67,123,'',''
09-2006,68,123,'',''
09-2006,77,122,"Very poor prospects from lack of rainfall, limited plantings",''
09-2006,79,123,'',''
09-2006,8,123,'',''
10-2006,1,123,'',''
10-2006,105,123,'',''
10-2006,106,123,'',''
10-2006,108,123,'',''
10-2006,116,123,'',''
10-2006,118,123,'',''
10-2006,133,123,'',''
10-2006,141,123,'',''
10-2006,142,123,'',''
10-2006,144,123,'',''
10-2006,150,123,'',''
10-2006,155,123,'',''
10-2006,159,123,'',''
10-2006,167,123,'',''
10-2006,175,123,'',''
10-2006,181,123,'',''
10-2006,188,123,'',''
10-2006,204,123,'',''
10-2006,221,123,'',''
10-2006,226,123,'',''
10-2006,231,123,'',''
10-2006,235,123,'',''
10-2006,242,123,'',''
10-2006,253,123,'',''
10-2006,257,123,'',''
10-2006,271,123,'',''
10-2006,40764,123,'',''
10-2006,42,123,'',''
10-2006,43,123,'',''
10-2006,49,123,'',''
10-2006,50,123,'',''
10-2006,57,123,'',''
10-2006,59,123,'',''
10-2006,63,123,'',''
10-2006,66,123,'',''
10-2006,67,123,'',''
10-2006,68,123,'',''
10-2006,77,122,"Very poor prospects from lack of rainfall, limited plantings",''
10-2006,79,123,'',''
10-2006,8,123,'',''
11-2006,105,123,'',''
11-2006,106,123,'',''
11-2006,133,123,'',''
11-2006,142,123,'',''
11-2006,144,123,'',''
11-2006,159,123,'',''
11-2006,181,123,'',''
11-2006,221,123,'',''
11-2006,235,123,'',''
11-2006,271,123,'',''
11-2006,43,123,'',''
11-2006,50,123,'',''
11-2006,59,123,'',''
11-2006,66,123,'',''
11-2006,68,123,'',''
11-2006,77,123,'',''
11-2006,79,123,'',''
11-2006,1,123,'',''
11-2006,108,123,'',''
11-2006,167,123,'',''
11-2006,175,123,'',''
11-2006,188,123,'',''
11-2006,19,123,'',''
11-2006,23,123,'',''
11-2006,253,123,'',''
11-2006,257,123,'',''
11-2006,40764,123,'',''
11-2006,67,123,'',''
11-2006,92,123,'',''
12-2006,1,123,'',''
12-2006,105,123,'',''
12-2006,106,123,'',''
12-2006,108,123,'',''
12-2006,133,123,'',''
12-2006,142,123,'',''
12-2006,144,123,'',''
12-2006,159,123,'',''
12-2006,167,123,'',''
12-2006,175,123,'',''
12-2006,181,123,'',''
12-2006,188,123,'',''
12-2006,19,123,'',''
12-2006,221,123,'',''
12-2006,23,123,'',''
12-2006,235,123,'',''
12-2006,253,123,'',''
12-2006,257,123,'',''
12-2006,271,123,'',''
12-2006,40764,123,'',''
12-2006,43,123,'',''
12-2006,50,123,'',''
12-2006,59,123,'',''
12-2006,66,123,'',''
12-2006,67,123,'',''
12-2006,68,123,'',''
12-2006,77,123,'',''
12-2006,79,123,'',''
12-2006,92,123,'',''
01-2007,1,123,'',''
01-2007,105,123,'',''
01-2007,106,123,'',''
01-2007,108,123,'',''
01-2007,133,123,'',''
01-2007,142,123,'',''
01-2007,144,123,'',''
01-2007,159,123,'',''
01-2007,167,123,'',''
01-2007,175,123,'',''
01-2007,181,123,'',''
01-2007,188,123,'',''
01-2007,19,123,'',''
01-2007,221,123,'',''
01-2007,23,123,'',''
01-2007,235,123,'',''
01-2007,253,123,'',''
01-2007,257,123,'',''
01-2007,271,123,'',''
01-2007,40764,123,'',''
01-2007,43,123,'',''
01-2007,50,123,'',''
01-2007,59,123,'',''
01-2007,66,123,'',''
01-2007,67,123,'',''
01-2007,68,123,'',''
01-2007,77,123,'',''
01-2007,79,123,'',''
01-2007,92,123,'',''
02-2007,1,123,'',''
02-2007,105,123,'',''
02-2007,106,123,'',''
02-2007,108,123,'',''
02-2007,142,123,'',''
02-2007,144,123,'',''
02-2007,175,123,'',''
02-2007,181,123,'',''
02-2007,188,123,'',''
02-2007,19,123,'',''
02-2007,221,123,'',''
02-2007,235,123,'',''
02-2007,257,123,'',''
02-2007,40764,123,'',''
02-2007,43,123,'',''
02-2007,50,123,'',''
02-2007,59,123,'',''
02-2007,66,123,'',''
02-2007,67,123,'',''
02-2007,68,123,'',''
02-2007,77,123,'',''
02-2007,8,123,'',''
02-2007,118,122,"Conflict, displacement",''
02-2007,133,123,'',''
02-2007,150,123,'',''
02-2007,196,123,'',''
02-2007,226,122,"Floods, conflict",''
02-2007,231,123,'',''
02-2007,253,123,'',''
02-2007,49,123,'',''
02-2007,79,123,'',''
02-2007,242,122,Drought,''
02-2007,103,123,'',''
02-2007,111,123,'',''
02-2007,159,123,'',''
