Date,Value,Measurement Unit,Geographic area,Commodity,Market Label,Commodity Origin
2008-07-25,332,USD per MT,0,US Wheat (hard red),US,0
2008-08-01,333,USD per MT,0,US Wheat (hard red),US,0
2008-08-08,327,USD per MT,0,US Wheat (hard red),US,0
2008-08-15,338,USD per MT,0,US Wheat (hard red),US,0
2008-08-22,357,USD per MT,0,US Wheat (hard red),US,0
2008-08-29,349,USD per MT,0,US Wheat (hard red),US,0
2008-09-05,326,USD per MT,0,US Wheat (hard red),US,0
2008-09-12,309,USD per MT,0,US Wheat (hard red),US,0
2008-09-19,297,USD per MT,0,US Wheat (hard red),US,0
2008-09-26,317,USD per MT,0,US Wheat (hard red),US,0
2008-10-03,293,USD per MT,0,US Wheat (hard red),US,0
2008-10-10,264,USD per MT,0,US Wheat (hard red),US,0
2008-10-17,258,USD per MT,0,US Wheat (hard red),US,0
2008-10-24,249,USD per MT,0,US Wheat (hard red),US,0
2008-10-31,238,USD per MT,0,US Wheat (hard red),US,0
2008-11-07,259,USD per MT,0,US Wheat (hard red),US,0
2008-11-14,245,USD per MT,0,US Wheat (hard red),US,0
2008-11-21,242,USD per MT,0,US Wheat (hard red),US,0
2008-11-28,243,USD per MT,0,US Wheat (hard red),US,0
2008-12-05,235,USD per MT,0,US Wheat (hard red),US,0
2008-12-12,220,USD per MT,0,US Wheat (hard red),US,0
2008-12-19,238,USD per MT,0,US Wheat (hard red),US,0
2008-12-26,248,USD per MT,0,US Wheat (hard red),US,0
2009-01-02,258,USD per MT,0,US Wheat (hard red),US,0
2009-01-09,276,USD per MT,0,US Wheat (hard red),US,0
2009-01-16,249,USD per MT,0,US Wheat (hard red),US,0
2009-01-23,244,USD per MT,0,US Wheat (hard red),US,0
2009-01-30,255,USD per MT,0,US Wheat (hard red),US,0
2009-02-06,243,USD per MT,0,US Wheat (hard red),US,0
2009-02-13,248,USD per MT,0,US Wheat (hard red),US,0
2009-02-20,234,USD per MT,0,US Wheat (hard red),US,0
2009-02-27,238,USD per MT,0,US Wheat (hard red),US,0
2009-03-06,233,USD per MT,0,US Wheat (hard red),US,0
2009-03-13,248,USD per MT,0,US Wheat (hard red),US,0
2009-03-20,255,USD per MT,0,US Wheat (hard red),US,0
2009-03-27,246,USD per MT,0,US Wheat (hard red),US,0
2009-04-03,240,USD per MT,0,US Wheat (hard red),US,0
2009-04-10,246,USD per MT,0,US Wheat (hard red),US,0
2009-04-17,238,USD per MT,0,US Wheat (hard red),US,0
2009-04-24,242,USD per MT,0,US Wheat (hard red),US,0
2009-05-01,242,USD per MT,0,US Wheat (hard red),US,0
2009-05-08,252,USD per MT,0,US Wheat (hard red),US,0
2009-05-15,266,USD per MT,0,US Wheat (hard red),US,0
2009-05-22,269,USD per MT,0,US Wheat (hard red),US,0
2009-05-29,275,USD per MT,0,US Wheat (hard red),US,0
2009-06-05,294,USD per MT,0,US Wheat (hard red),US,0
2009-06-12,274,USD per MT,0,US Wheat (hard red),US,0
2009-06-19,259,USD per MT,0,US Wheat (hard red),US,0
2009-06-26,251,USD per MT,0,US Wheat (hard red),US,0
2009-07-03,239,USD per MT,0,US Wheat (hard red),US,0
2009-07-10,228,USD per MT,0,US Wheat (hard red),US,0
2009-07-17,234,USD per MT,0,US Wheat (hard red),US,0
2009-07-24,235,USD per MT,0,US Wheat (hard red),US,0
2009-07-31,230,USD per MT,0,US Wheat (hard red),US,0
2009-08-07,238,USD per MT,0,US Wheat (hard red),US,0
2008-07-25,229.28,USD per MT,0,US Wheat (soft red),US,0
2008-08-01,236.63,USD per MT,0,US Wheat (soft red),US,0
2008-08-08,243.61,USD per MT,0,US Wheat (soft red),US,0
2008-08-15,248.75,USD per MT,0,US Wheat (soft red),US,0
2008-08-22,265.56,USD per MT,0,US Wheat (soft red),US,0
2008-08-29,255.55,USD per MT,0,US Wheat (soft red),US,0
2008-09-05,232.49,USD per MT,0,US Wheat (soft red),US,0
2008-09-12,222.48,USD per MT,0,US Wheat (soft red),US,0
2008-09-19,212.19,USD per MT,0,US Wheat (soft red),US,0
2008-09-26,232.58,USD per MT,0,US Wheat (soft red),US,0
2008-10-03,208.52,USD per MT,0,US Wheat (soft red),US,0
2008-10-10,187.67,USD per MT,0,US Wheat (soft red),US,0
2008-10-17,182.98,USD per MT,0,US Wheat (soft red),US,0
2008-10-24,186.07,USD per MT,0,US Wheat (soft red),US,0
